method,layer,k,variance_shrinkage_factor,variance_reduction,norm_shrinkage_factor,norm_reduction,info_retention_ratio,info_loss,spectral_total_energy_loss_pct,spectral_high_freq_loss_pct,effective_rank_original,effective_rank_averaged,rank_reduction,strategy,label,pattern,k_min,k_max,seed,high_sim_threshold,window_size,stride,compression_ratio,scheme,n_epochs,final_mse_loss
weighted,embedding,4.0,0.3303024648705129,0.6696975351294872,0.6597810983657837,0.3402189016342163,1.037820458416567,-0.053179906437407,97.63736884064238,60.919086095586806,759,712,47,,,,,,,,,,,linear,,
weighted,embedding,4.0,0.497364485162461,0.502635514837539,0.7624661922454834,0.2375338077545166,1.0253689831545658,-0.0356717027517836,96.67287504576667,60.24244578421784,759,728,31,,,,,,,,,,,exponential,,
weighted,embedding,4.0,0.335192954895699,0.6648070451043009,0.6638544797897339,0.3361455202102661,1.0418446405102126,-0.0588383684494229,97.60918397966198,60.90047855880169,759,714,45,,,,,,,,,,,gaussian,,
weighted,embedding,4.0,0.5222069788125153,0.4777930211874847,0.7792472243309021,0.2207527756690979,1.032970601867122,-0.0463604513505973,96.52831312306355,60.14299192472351,759,735,24,,,,,,,,,,,triangular,,
weighted,embedding,8.0,0.1672952498912485,0.8327047501087514,0.528498113155365,0.471501886844635,1.06921110365436,-0.0973187573833394,99.64432470835814,61.9385821255276,759,640,119,,,,,,,,,,,uniform,,
weighted,embedding,8.0,0.1956013173636868,0.8043986826363132,0.5534005761146545,0.4465994238853454,1.060368354735389,-0.0848848372287816,99.60393339619024,61.9103734193883,759,659,100,,,,,,,,,,,linear,,
weighted,embedding,8.0,0.2570311019262452,0.7429688980737548,0.6037190556526184,0.3962809443473816,1.0475852908774772,-0.0669103819099277,99.5156208095284,61.84939950354903,759,684,75,,,,,,,,,,,exponential,,
weighted,embedding,8.0,0.1939995072467493,0.8060004927532507,0.553175687789917,0.446824312210083,1.0641710377848723,-0.090231846155941,99.6060092353721,61.912264456502086,759,656,103,,,,,,,,,,,gaussian,,
weighted,embedding,8.0,0.23243702144599,0.76756297855401,0.5863815546035767,0.4136184453964233,1.0589714406163289,-0.0829206156073913,99.55077900653528,61.87422664566044,759,675,84,,,,,,,,,,,triangular,,
weighted,embedding,16.0,0.1086565042795493,0.8913434957204507,0.4659496247768402,0.5340503454208374,1.101075747548644,-0.1421241048567856,99.93224872162172,62.040207069213295,759,532,227,,,,,,,,,,,uniform,,
weighted,embedding,16.0,0.1236157494040165,0.8763842505959835,0.4807981848716736,0.5192018151283264,1.0861370728536526,-0.1211186132303143,99.92704488083764,62.03636094607097,759,566,193,,,,,,,,,,,linear,,
weighted,embedding,16.0,0.1471648675983601,0.8528351324016399,0.5046612024307251,0.4953387975692749,1.0740884073412111,-0.1041768062963568,99.91868534568364,62.03048741896499,759,601,158,,,,,,,,,,,exponential,,
weighted,embedding,16.0,0.1221987104419337,0.8778012895580662,0.4812421202659607,0.5187578797340393,1.0976210294209914,-0.1372663745571523,99.92730940602712,62.03683326508616,759,560,199,,,,,,,,,,,gaussian,,
weighted,embedding,16.0,0.1337365721571242,0.8662634278428758,0.4939394891262054,0.5060604810714722,1.091956422166753,-0.129301286443543,99.92313386581203,62.03397154346679,759,579,180,,,,,,,,,,,triangular,,
learnable,embedding,2.0,0.5141010339672085,0.4858989660327915,0.7751805186271667,0.2248194813728332,1.016947007824324,-0.0238294385690678,86.29236003258622,54.67159383511277,759,715,44,,,,,,,,,,,,3.0,0.00010943
learnable,embedding,4.0,0.2837317613865012,0.7162682386134989,0.6299083232879639,0.3700916767120361,1.042425455884333,-0.0596550615448085,97.8621009752277,61.139122711922376,759,624,135,,,,,,,,,,,,3.0,0.00013768
learnable,embedding,8.0,0.1727553387787213,0.8272446612212786,0.5379385352134705,0.4620614647865295,1.0734187076457518,-0.1032351316409778,99.6205085943074,61.940087024637606,759,540,219,,,,,,,,,,,,3.0,0.00014991
