step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
10600,173670400,3.277919e+15,6.472579,6.520865,6.471325
10700,175308800,3.308843e+15,6.444880,6.509897,6.466647
10800,176947200,3.339767e+15,6.447632,6.504766,6.454506
10900,178585600,3.370690e+15,6.434695,6.502734,6.453973
11000,180224000,3.401614e+15,6.431511,6.499022,6.452759
11100,181862400,3.432538e+15,6.456992,6.486351,6.444587
11200,183500800,3.463462e+15,6.440662,6.483388,6.433917
11300,185139200,3.494385e+15,6.440531,6.473997,6.424621
11400,186777600,3.525309e+15,6.438478,6.467913,6.421383
11500,188416000,3.556233e+15,6.413833,6.460212,6.413573
11600,190054400,3.587157e+15,6.405397,6.447992,6.402793
11700,191692800,3.618080e+15,6.405961,6.441554,6.398546
11800,193331200,3.649004e+15,6.392107,6.435882,6.390884
11900,194969600,3.679928e+15,6.372934,6.437709,6.392216
12000,196608000,3.710852e+15,6.372562,6.430640,6.382337
12100,198246400,3.741776e+15,6.387603,6.424431,6.372337
12200,199884800,3.772699e+15,6.377406,6.414337,6.365174
12300,201523200,3.803623e+15,6.349977,6.404498,6.357523
12400,203161600,3.834547e+15,6.353152,6.407837,6.357802
12500,204800000,3.865471e+15,6.358198,6.399196,6.355499
12600,206438400,3.896394e+15,6.351000,6.393574,6.352201
12700,208076800,3.927318e+15,6.343947,6.390377,6.345052
12800,209715200,3.958242e+15,6.336617,6.386818,6.341277
12900,211353600,3.989166e+15,6.354524,6.371094,6.328849
13000,212992000,4.020089e+15,6.351768,6.367943,6.323013
13100,214630400,4.051013e+15,6.357663,6.359862,6.316943
13200,216268800,4.081937e+15,6.300206,6.358463,6.316333
13300,217907200,4.112861e+15,6.314088,6.346832,6.307243
13400,219545600,4.143784e+15,6.282269,6.341039,6.300879
13500,221184000,4.174708e+15,6.306837,6.337880,6.292391
13600,222822400,4.205632e+15,6.266058,6.335484,6.293039
13700,224460800,4.236556e+15,6.273530,6.331551,6.291114
13800,226099200,4.267480e+15,6.273483,6.314924,6.272420
13900,227737600,4.298403e+15,6.272369,6.310563,6.267450
14000,229376000,4.329327e+15,6.263276,6.317901,6.274089
14100,231014400,4.360251e+15,6.255286,6.305919,6.260033
14200,232652800,4.391175e+15,6.264793,6.305956,6.260655
14300,234291200,4.422098e+15,6.269794,6.293135,6.249501
14400,235929600,4.453022e+15,6.248268,6.290788,6.245154
14500,237568000,4.483946e+15,6.273488,6.283930,6.243416
14600,239206400,4.514870e+15,6.238822,6.278176,6.238219
14700,240844800,4.545793e+15,6.232368,6.285025,6.242373
14800,242483200,4.576717e+15,6.218392,6.270594,6.232373
14900,244121600,4.607641e+15,6.209198,6.267412,6.226354
15000,245760000,4.638565e+15,6.211105,6.261012,6.215040
15100,247398400,4.669488e+15,6.232382,6.260288,6.216456
15200,249036800,4.700412e+15,6.208566,6.244210,6.201069
15300,250675200,4.731336e+15,6.199999,6.243922,6.198977
15400,252313600,4.762260e+15,6.216986,6.242318,6.199186
15500,253952000,4.793184e+15,6.199729,6.242099,6.196978
15600,255590400,4.824107e+15,6.185963,6.227065,6.186508
15700,257228800,4.855031e+15,6.181598,6.231665,6.186087
15800,258867200,4.885955e+15,6.190548,6.231767,6.184087
15900,260505600,4.916879e+15,6.208863,6.221172,6.180923
16000,262144000,4.947802e+15,6.164871,6.213020,6.172313
16100,263782400,4.978726e+15,6.179867,6.219117,6.175124
16200,265420800,5.009650e+15,6.173579,6.215358,6.169397
16300,267059200,5.040574e+15,6.165372,6.206154,6.159146
16400,268697600,5.071497e+15,6.154170,6.196270,6.150028
16500,270336000,5.102421e+15,6.146686,6.192853,6.151377
16600,271974400,5.133345e+15,6.143564,6.195353,6.151737
16700,273612800,5.164269e+15,6.172353,6.185300,6.140280
16800,275251200,5.195192e+15,6.105876,6.181973,6.136850
16900,276889600,5.226116e+15,6.142608,6.165706,6.127510
17000,278528000,5.257040e+15,6.128447,6.161761,6.124778
17100,280166400,5.287964e+15,6.119864,6.166897,6.122791
17200,281804800,5.318887e+15,6.101634,6.162522,6.121675
17300,283443200,5.349811e+15,6.132764,6.154222,6.109936
17400,285081600,5.380735e+15,6.130048,6.160537,6.112741
17500,286720000,5.411659e+15,6.108764,6.150186,6.101926
17600,288358400,5.442583e+15,6.104853,6.149602,6.102347
17700,289996800,5.473506e+15,6.116129,6.148268,6.098918
17800,291635200,5.504430e+15,6.098097,6.145068,6.096271
17900,293273600,5.535354e+15,6.103193,6.142056,6.096495
18000,294912000,5.566278e+15,6.115592,6.122048,6.076502
