step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
10600,173670400,4.261295e+16,5.343120,5.335817,5.335817
10700,175308800,4.301496e+16,5.383499,5.331215,5.331215
10800,176947200,4.341697e+16,5.354104,5.314567,5.314567
10900,178585600,4.381897e+16,5.337687,5.303426,5.303426
11000,180224000,4.422098e+16,5.333568,5.289311,5.289311
11100,181862400,4.462299e+16,5.318569,5.280797,5.280797
11200,183500800,4.502500e+16,5.316001,5.278842,5.278842
11300,185139200,4.542701e+16,5.288319,5.274494,5.274494
11400,186777600,4.582902e+16,5.272783,5.265285,5.265285
11500,188416000,4.623103e+16,5.291500,5.250583,5.250583
11600,190054400,4.663304e+16,5.272749,5.244690,5.244690
11700,191692800,4.703505e+16,5.247611,5.235202,5.235202
11800,193331200,4.743705e+16,5.261457,5.227022,5.227022
11900,194969600,4.783906e+16,5.259422,5.217377,5.217377
12000,196608000,4.824107e+16,5.242805,5.211218,5.211218
12100,198246400,4.864308e+16,5.216109,5.204443,5.204443
12200,199884800,4.904509e+16,5.186492,5.194488,5.194488
12300,201523200,4.944710e+16,5.186086,5.188263,5.188263
12400,203161600,4.984911e+16,5.213228,5.189002,5.189002
12500,204800000,5.025112e+16,5.225175,5.174225,5.174225
12600,206438400,5.065313e+16,5.219174,5.165235,5.165235
12700,208076800,5.105514e+16,5.182100,5.163197,5.163197
12800,209715200,5.145714e+16,5.174302,5.156647,5.156647
12900,211353600,5.185915e+16,5.187439,5.155989,5.155989
13000,212992000,5.226116e+16,5.184098,5.141431,5.141431
13100,214630400,5.266317e+16,5.196550,5.140565,5.140565
13200,216268800,5.306518e+16,5.183238,5.132457,5.132457
13300,217907200,5.346719e+16,5.151077,5.128562,5.128562
13400,219545600,5.386920e+16,5.144885,5.119049,5.119049
13500,221184000,5.427121e+16,5.116861,5.109324,5.109324
13600,222822400,5.467322e+16,5.143214,5.103691,5.103691
13700,224460800,5.507522e+16,5.122597,5.100553,5.100553
13800,226099200,5.547723e+16,5.104618,5.096296,5.096296
13900,227737600,5.587924e+16,5.121467,5.085381,5.085381
14000,229376000,5.628125e+16,5.120083,5.087301,5.087301
14100,231014400,5.668326e+16,5.093381,5.079800,5.079800
14200,232652800,5.708527e+16,5.092509,5.071119,5.071119
14300,234291200,5.748728e+16,5.114875,5.071289,5.071289
14400,235929600,5.788929e+16,5.106966,5.054344,5.054344
14500,237568000,5.829130e+16,5.096163,5.061128,5.061128
14600,239206400,5.869331e+16,5.056025,5.053552,5.053552
14700,240844800,5.909531e+16,5.076485,5.048027,5.048027
14800,242483200,5.949732e+16,5.050069,5.038424,5.038424
14900,244121600,5.989933e+16,5.049971,5.033046,5.033046
15000,245760000,6.030134e+16,5.062533,5.032161,5.032161
15100,247398400,6.070335e+16,5.060684,5.028779,5.028779
15200,249036800,6.110536e+16,5.038695,5.025967,5.025967
15300,250675200,6.150737e+16,5.044422,5.018210,5.018210
15400,252313600,6.190938e+16,5.065171,5.013463,5.013463
15500,253952000,6.231139e+16,5.029779,5.009456,5.009456
15600,255590400,6.271339e+16,5.035330,5.000506,5.000506
15700,257228800,6.311540e+16,5.052014,4.997299,4.997299
15800,258867200,6.351741e+16,5.035917,4.991636,4.991636
15900,260505600,6.391942e+16,5.047480,4.991651,4.991651
16000,262144000,6.432143e+16,5.040533,4.982317,4.982317
16100,263782400,6.472344e+16,5.012395,4.975099,4.975099
16200,265420800,6.512545e+16,4.997719,4.974968,4.974968
16300,267059200,6.552746e+16,4.988909,4.977897,4.977897
16400,268697600,6.592947e+16,4.989636,4.968013,4.968013
16500,270336000,6.633147e+16,4.995928,4.958165,4.958165
16600,271974400,6.673348e+16,4.985492,4.962015,4.962015
16700,273612800,6.713549e+16,4.997813,4.953155,4.953155
16800,275251200,6.753750e+16,4.970181,4.949551,4.949551
16900,276889600,6.793951e+16,4.969616,4.948362,4.948362
17000,278528000,6.834152e+16,4.960474,4.939072,4.939072
17100,280166400,6.874353e+16,4.979849,4.939263,4.939263
17200,281804800,6.914554e+16,4.963011,4.923647,4.923647
17300,283443200,6.954755e+16,4.948853,4.929361,4.929361
17400,285081600,6.994956e+16,4.946990,4.922325,4.922325
17500,286720000,7.035156e+16,4.982933,4.918065,4.918065
17600,288358400,7.075357e+16,4.946674,4.917992,4.917992
17700,289996800,7.115558e+16,4.955126,4.916587,4.916587
17800,291635200,7.155759e+16,4.931772,4.909402,4.909402
17900,293273600,7.195960e+16,4.926204,4.907907,4.907907
18000,294912000,7.236161e+16,4.929070,4.904597,4.904597
18100,296550400,7.276362e+16,4.930708,4.902417,4.902417
18200,298188800,7.316563e+16,4.929793,4.895621,4.895621
18300,299827200,7.356764e+16,4.938739,4.893211,4.893211
18400,301465600,7.396964e+16,4.925108,4.890099,4.890099
18500,303104000,7.437165e+16,4.908412,4.883609,4.883609
18600,304742400,7.477366e+16,4.904230,4.885277,4.885277
18700,306380800,7.517567e+16,4.906180,4.873412,4.873412
18800,308019200,7.557768e+16,4.890244,4.868722,4.868722
18900,309657600,7.597969e+16,4.898273,4.868273,4.868273
19000,311296000,7.638170e+16,4.899705,4.865242,4.865242
19100,312934400,7.678371e+16,4.892773,4.862909,4.862909
19200,314572800,7.718572e+16,4.889401,4.859613,4.859613
19300,316211200,7.758773e+16,4.891106,4.857457,4.857457
19400,317849600,7.798973e+16,4.899641,4.856255,4.856255
19500,319488000,7.839174e+16,4.891390,4.854006,4.854006
19600,321126400,7.879375e+16,4.891569,4.841823,4.841823
19700,322764800,7.919576e+16,4.893861,4.842876,4.842876
19800,324403200,7.959777e+16,4.858229,4.838555,4.838555
19900,326041600,7.999978e+16,4.871538,4.832876,4.832876
20000,327680000,8.040179e+16,4.867422,4.832853,4.832853
20100,329318400,8.080380e+16,4.854369,4.831767,4.831767
20200,330956800,8.120581e+16,4.849833,4.822825,4.822825
20300,332595200,8.160781e+16,4.862332,4.830815,4.830815
20400,334233600,8.200982e+16,4.848416,4.822799,4.822799
20500,335872000,8.241183e+16,4.836141,4.817746,4.817746
20600,337510400,8.281384e+16,4.841839,4.813245,4.813245
20700,339148800,8.321585e+16,4.843944,4.808285,4.808285
20800,340787200,8.361786e+16,4.823818,4.805817,4.805817
20900,342425600,8.401987e+16,4.822004,4.801220,4.801220
21000,344064000,8.442188e+16,4.859135,4.809346,4.809346
21100,345702400,8.482389e+16,4.834657,4.801261,4.801261
21200,347340800,8.522590e+16,4.830778,4.795127,4.795127
21300,348979200,8.562790e+16,4.808101,4.790074,4.790074
21400,350617600,8.602991e+16,4.799864,4.791173,4.791173
21500,352256000,8.643192e+16,4.826895,4.782207,4.782207
21600,353894400,8.683393e+16,4.810570,4.786581,4.786581
21700,355532800,8.723594e+16,4.818012,4.785264,4.785264
21800,357171200,8.763795e+16,4.807444,4.785309,4.785309
21900,358809600,8.803996e+16,4.815169,4.779045,4.779045
22000,360448000,8.844197e+16,4.810628,4.774485,4.774485
22100,362086400,8.884398e+16,4.812112,4.770258,4.770258
22200,363724800,8.924598e+16,4.804289,4.770796,4.770796
22300,365363200,8.964799e+16,4.786912,4.766183,4.766183
22400,367001600,9.005000e+16,4.789925,4.760220,4.760220
22500,368640000,9.045201e+16,4.797987,4.762767,4.762767
22600,370278400,9.085402e+16,4.796981,4.751787,4.751787
22700,371916800,9.125603e+16,4.789063,4.753419,4.753419
22800,373555200,9.165804e+16,4.791562,4.745345,4.745345
22900,375193600,9.206005e+16,4.802932,4.749062,4.749062
23000,376832000,9.246206e+16,4.777427,4.747811,4.747811
23100,378470400,9.286406e+16,4.769180,4.739122,4.739122
23200,380108800,9.326607e+16,4.785314,4.740481,4.740481
23300,381747200,9.366808e+16,4.774649,4.740622,4.740622
23400,383385600,9.407009e+16,4.781936,4.735071,4.735071
23500,385024000,9.447210e+16,4.765648,4.731162,4.731162
23600,386662400,9.487411e+16,4.745707,4.729256,4.729256
23700,388300800,9.527612e+16,4.787766,4.729712,4.729712
23800,389939200,9.567813e+16,4.761199,4.728011,4.728011
23900,391577600,9.608014e+16,4.757582,4.720052,4.720052
24000,393216000,9.648215e+16,4.778544,4.717431,4.717431
24100,394854400,9.688415e+16,4.752707,4.713734,4.713734
24200,396492800,9.728616e+16,4.759304,4.714112,4.714112
24300,398131200,9.768817e+16,4.747081,4.712745,4.712745
24400,399769600,9.809018e+16,4.751801,4.707203,4.707203
24500,401408000,9.849219e+16,4.717524,4.706861,4.706861
24600,403046400,9.889420e+16,4.759430,4.700951,4.700951
24700,404684800,9.929621e+16,4.725553,4.705359,4.705359
24800,406323200,9.969822e+16,4.740458,4.699827,4.699827
24900,407961600,1.001002e+17,4.726634,4.694447,4.694447
25000,409600000,1.005022e+17,4.728567,4.695404,4.695404
25100,411238400,1.009042e+17,4.730028,4.696181,4.696181
25200,412876800,1.013063e+17,4.731231,4.692590,4.692590
25300,414515200,1.017083e+17,4.732740,4.688534,4.688534
25400,416153600,1.021103e+17,4.733203,4.685353,4.685353
25500,417792000,1.025123e+17,4.735708,4.682325,4.682325
25600,419430400,1.029143e+17,4.723003,4.686717,4.686717
25700,421068800,1.033163e+17,4.708552,4.678376,4.678376
25800,422707200,1.037183e+17,4.722492,4.680121,4.680121
25900,424345600,1.041203e+17,4.701513,4.673147,4.673147
26000,425984000,1.045223e+17,4.697914,4.673316,4.673316
26100,427622400,1.049243e+17,4.690252,4.670399,4.670399
26200,429260800,1.053263e+17,4.699330,4.666904,4.666904
26300,430899200,1.057284e+17,4.708359,4.659966,4.659966
26400,432537600,1.061304e+17,4.675149,4.661304,4.661304
26500,434176000,1.065324e+17,4.691294,4.659538,4.659538
26600,435814400,1.069344e+17,4.699449,4.652765,4.652765
