method,layer,window_size,stride,compression_ratio,variance_shrinkage_factor,variance_reduction,norm_shrinkage_factor,norm_reduction,info_retention_ratio,info_loss,spectral_total_energy_loss_pct,spectral_high_freq_loss_pct,effective_rank_original,effective_rank_averaged,rank_reduction
overlapping,embedding,2,1,0.5,0.5203876204887599,0.47961237951124014,0.7780818343162537,0.22191816568374634,1.0150093585560906,-0.021104881249899288,44.689646354750145,42.6938558637587,759,742,17
overlapping,embedding,2,2,1.0,0.5213223491477197,0.4786776508522803,0.7788142561912537,0.22118574380874634,1.0216301932457827,-0.030414534915575775,86.14411402031271,54.47874240256013,759,741,18
overlapping,embedding,4,1,0.25,0.28359529027818836,0.7164047097218116,0.6264467835426331,0.37355321645736694,1.0238187854009826,-0.033491946742826295,66.71443394778342,58.84648564883393,759,707,52
overlapping,embedding,4,2,0.5,0.28411340982172,0.71588659017828,0.6269723176956177,0.3730276823043823,1.0334445466618911,-0.047026872142347464,91.63682181984389,59.68293636542648,759,707,52
overlapping,embedding,4,4,1.0,0.28484027517426935,0.7151597248257306,0.6279106736183167,0.37208932638168335,1.0452934012157755,-0.06368772192966787,97.8999089644748,61.10226806164306,759,705,54
overlapping,embedding,8,1,0.125,0.16592352404380617,0.8340764759561938,0.5261106491088867,0.4738893508911133,1.0372730934292724,-0.052410248426104866,77.8080336890628,61.09171095764579,759,644,115
overlapping,embedding,8,4,0.5,0.16651446136657022,0.8334855386334298,0.5271121859550476,0.4728878140449524,1.0560805457500608,-0.07885568554189093,98.59367639299074,61.74941632659659,759,644,115
overlapping,embedding,8,8,1.0,0.16729524989124853,0.8327047501087514,0.528498113155365,0.471501886844635,1.0692111036543601,-0.0973187573833394,99.64432470835814,61.938582125527596,759,640,119
