step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
10600,173670400,3.277919e+15,7.212962,7.290992,7.253162
10700,175308800,3.308843e+15,7.215464,7.286092,7.247239
10800,176947200,3.339767e+15,7.238732,7.282730,7.249493
10900,178585600,3.370690e+15,7.214664,7.290932,7.255338
11000,180224000,3.401614e+15,7.208909,7.269807,7.234415
11100,181862400,3.432538e+15,7.178905,7.266148,7.232337
11200,183500800,3.463462e+15,7.209133,7.282884,7.246640
11300,185139200,3.494385e+15,7.205791,7.274156,7.236985
11400,186777600,3.525309e+15,7.205873,7.271094,7.230508
11500,188416000,3.556233e+15,7.194213,7.258449,7.220281
11600,190054400,3.587157e+15,7.194499,7.248526,7.213749
11700,191692800,3.618080e+15,7.162723,7.253563,7.216847
11800,193331200,3.649004e+15,7.200544,7.251054,7.216808
11900,194969600,3.679928e+15,7.173185,7.249634,7.212784
12000,196608000,3.710852e+15,7.168791,7.247446,7.205511
12100,198246400,3.741776e+15,7.181551,7.238376,7.198561
12200,199884800,3.772699e+15,7.171411,7.239547,7.199305
12300,201523200,3.803623e+15,7.173355,7.227981,7.193506
12400,203161600,3.834547e+15,7.159833,7.236372,7.202908
12500,204800000,3.865471e+15,7.147204,7.233060,7.194441
12600,206438400,3.896394e+15,7.175502,7.228972,7.192730
12700,208076800,3.927318e+15,7.182034,7.226871,7.188054
12800,209715200,3.958242e+15,7.172734,7.224524,7.185000
12900,211353600,3.989166e+15,7.184285,7.228871,7.188715
13000,212992000,4.020089e+15,7.155417,7.218084,7.174668
13100,214630400,4.051013e+15,7.143333,7.208501,7.170867
13200,216268800,4.081937e+15,7.141770,7.207095,7.167712
13300,217907200,4.112861e+15,7.136414,7.205998,7.165823
13400,219545600,4.143784e+15,7.133163,7.206097,7.170833
13500,221184000,4.174708e+15,7.166131,7.195888,7.157932
13600,222822400,4.205632e+15,7.130907,7.200777,7.158277
13700,224460800,4.236556e+15,7.104894,7.190306,7.147566
13800,226099200,4.267480e+15,7.125454,7.199989,7.152881
13900,227737600,4.298403e+15,7.128638,7.184459,7.139826
14000,229376000,4.329327e+15,7.126842,7.175391,7.137086
14100,231014400,4.360251e+15,7.121959,7.182867,7.145362
14200,232652800,4.391175e+15,7.109627,7.174383,7.136369
14300,234291200,4.422098e+15,7.091800,7.180043,7.137930
14400,235929600,4.453022e+15,7.102576,7.174953,7.132998
14500,237568000,4.483946e+15,7.108014,7.168860,7.131230
14600,239206400,4.514870e+15,7.095881,7.166504,7.125231
14700,240844800,4.545793e+15,7.100933,7.159076,7.120721
14800,242483200,4.576717e+15,7.093932,7.167136,7.128947
14900,244121600,4.607641e+15,7.080212,7.155318,7.117802
15000,245760000,4.638565e+15,7.093082,7.163875,7.123311
15100,247398400,4.669488e+15,7.094646,7.154711,7.116568
15200,249036800,4.700412e+15,7.074644,7.145016,7.106516
15300,250675200,4.731336e+15,7.066562,7.142176,7.104301
15400,252313600,4.762260e+15,7.059048,7.146129,7.108742
15500,253952000,4.793184e+15,7.074627,7.140264,7.100071
15600,255590400,4.824107e+15,7.071026,7.146712,7.097984
15700,257228800,4.855031e+15,7.047087,7.136830,7.097653
15800,258867200,4.885955e+15,7.067165,7.133941,7.097252
15900,260505600,4.916879e+15,7.057940,7.130253,7.095033
16000,262144000,4.947802e+15,7.075813,7.111452,7.077099
16100,263782400,4.978726e+15,7.038859,7.122412,7.083664
16200,265420800,5.009650e+15,7.045339,7.120632,7.081724
16300,267059200,5.040574e+15,7.047867,7.113172,7.073242
16400,268697600,5.071497e+15,7.036585,7.116489,7.077654
16500,270336000,5.102421e+15,7.083897,7.107684,7.070883
16600,271974400,5.133345e+15,7.091053,7.104465,7.068134
16700,273612800,5.164269e+15,7.052879,7.104087,7.062225
16800,275251200,5.195192e+15,7.040076,7.103880,7.063069
16900,276889600,5.226116e+15,7.046012,7.101138,7.063204
17000,278528000,5.257040e+15,7.051079,7.075892,7.038953
17100,280166400,5.287964e+15,7.030723,7.090748,7.052372
17200,281804800,5.318887e+15,7.023963,7.092688,7.053353
17300,283443200,5.349811e+15,7.007646,7.085790,7.046180
17400,285081600,5.380735e+15,7.008120,7.091572,7.047756
17500,286720000,5.411659e+15,7.017366,7.076384,7.039492
17600,288358400,5.442583e+15,7.033244,7.070696,7.036783
17700,289996800,5.473506e+15,7.030309,7.074201,7.040099
17800,291635200,5.504430e+15,7.021633,7.070599,7.037065
17900,293273600,5.535354e+15,7.031607,7.071403,7.036250
18000,294912000,5.566278e+15,6.995998,7.063325,7.029744
18100,296550400,5.597201e+15,7.035800,7.070289,7.032734
18200,298188800,5.628125e+15,7.023397,7.065791,7.027813
18300,299827200,5.659049e+15,6.993595,7.045870,7.013455
18400,301465600,5.689973e+15,7.010165,7.044470,7.011085
18500,303104000,5.720896e+15,6.992004,7.053171,7.011286
18600,304742400,5.751820e+15,7.011357,7.053441,7.013694
18700,306380800,5.782744e+15,6.999617,7.045899,7.008196
18800,308019200,5.813668e+15,6.976707,7.045992,7.010048
18900,309657600,5.844591e+15,6.995057,7.034034,6.999956
19000,311296000,5.875515e+15,7.003241,7.026248,6.997101
19100,312934400,5.906439e+15,6.974513,7.027037,6.993661
19200,314572800,5.937363e+15,6.991065,7.027882,6.990803
19300,316211200,5.968287e+15,6.989872,7.025872,6.987070
19400,317849600,5.999210e+15,6.961855,7.021943,6.985346
19500,319488000,6.030134e+15,6.959830,7.012717,6.977972
19600,321126400,6.061058e+15,6.952488,7.018128,6.981279
19700,322764800,6.091982e+15,6.941588,7.008959,6.975458
19800,324403200,6.122905e+15,6.966554,7.006661,6.971753
19900,326041600,6.153829e+15,6.960406,7.008997,6.968679
20000,327680000,6.184753e+15,6.942831,7.013833,6.977232
20100,329318400,6.215677e+15,6.978107,6.998610,6.962131
20200,330956800,6.246600e+15,6.931559,7.001906,6.966411
20300,332595200,6.277524e+15,6.929103,6.994838,6.961437
20400,334233600,6.308448e+15,6.946466,6.991758,6.957547
20500,335872000,6.339372e+15,6.961290,6.999967,6.961406
20600,337510400,6.370295e+15,6.927010,6.989008,6.951088
20700,339148800,6.401219e+15,6.962644,6.987865,6.953187
20800,340787200,6.432143e+15,6.945680,6.988280,6.952428
20900,342425600,6.463067e+15,6.947345,6.990169,6.950028
21000,344064000,6.493991e+15,6.948175,6.987359,6.949959
21100,345702400,6.524914e+15,6.943436,6.990401,6.951643
21200,347340800,6.555838e+15,6.914669,6.971901,6.941103
21300,348979200,6.586762e+15,6.909509,6.975806,6.942784
21400,350617600,6.617686e+15,6.925471,6.978377,6.940016
21500,352256000,6.648609e+15,6.926851,6.962999,6.930473
21600,353894400,6.679533e+15,6.926776,6.959289,6.925345
21700,355532800,6.710457e+15,6.918588,6.947362,6.917430
21800,357171200,6.741381e+15,6.917406,6.954010,6.925441
21900,358809600,6.772304e+15,6.900947,6.956931,6.924126
22000,360448000,6.803228e+15,6.920760,6.955231,6.924800
22100,362086400,6.834152e+15,6.904305,6.950609,6.916419
22200,363724800,6.865076e+15,6.896409,6.944157,6.917049
22300,365363200,6.895999e+15,6.898564,6.948477,6.916070
22400,367001600,6.926923e+15,6.918721,6.942093,6.906551
22500,368640000,6.957847e+15,6.888632,6.941997,6.908675
22600,370278400,6.988771e+15,6.898900,6.941357,6.907121
22700,371916800,7.019695e+15,6.881497,6.939382,6.905319
22800,373555200,7.050618e+15,6.898314,6.939144,6.903074
22900,375193600,7.081542e+15,6.884489,6.930353,6.901554
23000,376832000,7.112466e+15,6.871081,6.923177,6.892794
23100,378470400,7.143390e+15,6.873986,6.929171,6.895597
23200,380108800,7.174313e+15,6.896703,6.921601,6.891030
23300,381747200,7.205237e+15,6.873706,6.924085,6.895162
23400,383385600,7.236161e+15,6.881429,6.917992,6.887010
23500,385024000,7.267085e+15,6.867718,6.915531,6.885371
23600,386662400,7.298008e+15,6.866967,6.910385,6.878286
23700,388300800,7.328932e+15,6.843925,6.909699,6.879217
23800,389939200,7.359856e+15,6.879675,6.917095,6.882375
23900,391577600,7.390780e+15,6.845398,6.902771,6.871844
24000,393216000,7.421703e+15,6.850274,6.905977,6.869403
24100,394854400,7.452627e+15,6.857978,6.897299,6.862493
24200,396492800,7.483551e+15,6.857180,6.896566,6.865082
24300,398131200,7.514475e+15,6.872312,6.896517,6.862401
24400,399769600,7.545399e+15,6.842765,6.901998,6.868045
24500,401408000,7.576322e+15,6.830095,6.893435,6.859752
24600,403046400,7.607246e+15,6.859583,6.891790,6.856523
24700,404684800,7.638170e+15,6.842797,6.880499,6.850997
24800,406323200,7.669094e+15,6.838046,6.878593,6.843989
24900,407961600,7.700017e+15,6.828668,6.883318,6.852214
25000,409600000,7.730941e+15,6.829792,6.884247,6.852128
25100,411238400,7.761865e+15,6.857211,6.874948,6.841455
25200,412876800,7.792789e+15,6.831665,6.870892,6.843840
25300,414515200,7.823712e+15,6.827376,6.864848,6.835615
25400,416153600,7.854636e+15,6.813955,6.878932,6.845049
25500,417792000,7.885560e+15,6.821109,6.869479,6.836495
25600,419430400,7.916484e+15,6.839234,6.858297,6.826918
25700,421068800,7.947407e+15,6.854920,6.869001,6.836668
25800,422707200,7.978331e+15,6.838112,6.855294,6.822426
25900,424345600,8.009255e+15,6.821955,6.859686,6.824705
26000,425984000,8.040179e+15,6.820534,6.850955,6.818322
26100,427622400,8.071103e+15,6.825570,6.856522,6.826114
26200,429260800,8.102026e+15,6.827501,6.858260,6.824959
26300,430899200,8.132950e+15,6.794730,6.846936,6.818125
26400,432537600,8.163874e+15,6.783624,6.842101,6.810521
26500,434176000,8.194798e+15,6.785738,6.837519,6.809075
26600,435814400,8.225721e+15,6.810417,6.834273,6.804981
